sample_index,Age_months,y_observed,y_fitted,residual,H_factor_01,H_factor_02,H_factor_03,H_factor_04,H_factor_05
881,48,1.15279815398418,0.09797902,1.054819,-0.01487842,-0.02859531,-0.004038671,0.02106157,0.01815857
882,3,-0.568559480757791,0.003176028,-0.5717355,0.02374757,0.02043467,0.03489021,-0.04153107,-0.0139894
883,72,-0.626441876475924,0.03651036,-0.6629522,-0.01163042,0.03131082,-0.01434683,0.006836757,-0.05234323
884,3,-0.460899164655002,-0.089329,-0.3715702,0.02279242,0.02255266,0.01342263,-0.06012852,-0.003786331
885,9,-0.166415256650892,-0.1316779,-0.0347374,0.02523361,0.02550782,0.02360626,-0.001422997,0.0098362
886,9,0.117480268857171,-0.1107141,0.2281943,0.0207731,-0.03353686,0.008621019,0.008751978,0.01564179
887,48,0.124991880886518,0.4488332,-0.3238413,-0.04320357,0.03030758,0.03001293,0.01120245,-8.063771e-05
888,72,-1.60978859982617,-0.2211272,-1.388661,0.0213481,-0.0270627,-0.01637159,0.06147013,-0.05073649
889,48,0.0402385922438724,-0.05875511,0.0989937,-0.003972323,-0.02859667,-0.01501518,0.02793884,0.02637204
890,48,2.57006605087202,1.063645,1.506421,-0.08821213,-0.02743227,0.05140271,-0.01322011,-0.04904472
891,72,1.48606258172291,-0.1507808,1.636843,0.002562709,-0.02686027,-0.03207552,0.03903217,-0.02576333
892,9,0.0671969328236879,0.1428217,-0.07562476,0.008701539,0.02728714,0.05330448,0.01469405,-0.00280017
893,48,-0.00784948813098804,-0.1709577,0.1631083,0.007989286,-0.03006017,-0.01453276,0.03116333,0.04147442
894,48,0.212428853716802,-0.324456,0.5368848,0.02108011,-0.02954341,-0.0286721,0.03185684,0.02044216
895,3,-0.557268554923746,-0.1444092,-0.4128594,0.03028492,-0.03613411,0.003506388,-0.03728566,-0.006045934
